,elapsed_time,position,target,method
0,0.024585962295532227,"[212, 188, 91, 89]","[312, 188, 89, 89]",Internal
1,0.1936357021331787,"[212, 188, 94, 89]","[312, 188, 89, 89]",Internal
2,0.3041207790374756,"[213, 185, 100, 89]","[312, 188, 89, 89]",Internal
3,0.4232170581817627,"[214, 184, 104, 89]","[312, 188, 89, 89]",Internal
4,0.5336534976959229,"[214, 181, 106, 90]","[312, 188, 89, 89]",Internal
5,0.6359901428222656,"[214, 180, 110, 89]","[312, 188, 89, 89]",Internal
6,0.746309757232666,"[214, 180, 110, 90]","[312, 188, 89, 89]",Internal
7,0.8506343364715576,"[213, 181, 106, 89]","[312, 188, 89, 89]",Internal
8,0.96502685546875,"[213, 181, 102, 89]","[312, 188, 89, 89]",Internal
9,1.0675947666168213,"[222, 179, 99, 88]","[312, 188, 89, 89]",Internal
10,1.2356083393096924,"[253, 176, 94, 90]","[312, 188, 89, 89]",Internal
11,1.4463353157043457,"[267, 175, 94, 88]","[312, 188, 89, 89]",Internal
12,1.5985167026519775,"[282, 174, 99, 91]","[312, 188, 89, 89]",Internal
13,1.7191503047943115,"[290, 171, 99, 91]","[312, 188, 89, 89]",Internal
14,1.927116870880127,"[296, 170, 99, 91]","[312, 188, 89, 89]",Internal
15,2.162430763244629,"[299, 169, 99, 91]","[312, 188, 89, 89]",Internal
16,2.3378119468688965,"[308, 166, 99, 92]","[312, 188, 89, 89]",Internal
17,2.4807536602020264,"[312, 166, 99, 92]","[312, 188, 89, 89]",Internal
18,2.618849277496338,"[313, 167, 99, 92]","[312, 188, 89, 89]",Internal
19,2.7502269744873047,"[315, 169, 99, 92]","[312, 188, 89, 89]",Internal
20,2.877720832824707,"[316, 170, 100, 92]","[312, 188, 89, 89]",Internal
21,3.001983404159546,"[316, 174, 100, 90]","[316, 70, 100, 92]",Internal
22,3.1157641410827637,"[315, 179, 99, 86]","[316, 70, 100, 92]",Internal
23,3.221874475479126,"[315, 176, 99, 89]","[316, 70, 100, 92]",Internal
24,3.625455617904663,"[315, 179, 98, 86]","[316, 70, 100, 92]",Internal
25,3.9060981273651123,"[315, 166, 105, 83]","[316, 70, 100, 92]",Internal
26,4.239763259887695,"[315, 144, 100, 84]","[316, 70, 100, 92]",Internal
27,4.560484409332275,"[316, 109, 101, 92]","[316, 70, 100, 92]",Internal
28,7.094218492507935,"[313, 72, 96, 92]","[316, 70, 100, 92]",Internal
29,7.407812595367432,"[312, 61, 97, 92]","[213, 72, 96, 92]",Internal
30,7.51500391960144,"[315, 51, 95, 94]","[213, 72, 96, 92]",Internal
31,7.622137546539307,"[317, 55, 95, 91]","[213, 72, 96, 92]",Internal
32,7.839089393615723,"[313, 55, 99, 90]","[213, 72, 96, 92]",Internal
33,7.948755979537964,"[307, 51, 96, 91]","[213, 72, 96, 92]",Internal
34,8.06255316734314,"[302, 50, 97, 91]","[213, 72, 96, 92]",Internal
35,8.184365510940552,"[293, 48, 98, 92]","[213, 72, 96, 92]",Internal
36,8.366997241973877,"[280, 46, 99, 92]","[213, 72, 96, 92]",Internal
37,8.514509916305542,"[260, 45, 95, 92]","[213, 72, 96, 92]",Internal
38,8.64804458618164,"[250, 45, 96, 91]","[213, 72, 96, 92]",Internal
39,8.755971670150757,"[240, 45, 96, 91]","[213, 72, 96, 92]",Internal
40,8.905950784683228,"[237, 45, 97, 91]","[213, 72, 96, 92]",Internal
41,9.034873247146606,"[231, 44, 97, 92]","[213, 72, 96, 92]",Internal
42,9.156021118164062,"[227, 43, 95, 91]","[213, 72, 96, 92]",Internal
43,9.262504816055298,"[225, 43, 95, 92]","[213, 72, 96, 92]",Internal
44,9.478161334991455,"[221, 42, 95, 92]","[213, 72, 96, 92]",Internal
45,9.59109354019165,"[218, 43, 95, 92]","[213, 72, 96, 92]",Internal
46,9.76620602607727,"[217, 43, 95, 92]","[213, 72, 96, 92]",Internal
47,9.91468334197998,"[214, 43, 95, 92]","[213, 72, 96, 92]",Internal
48,10.015558242797852,"[214, 50, 93, 90]","[214, 143, 95, 92]",Internal
49,10.117345571517944,"[213, 53, 95, 85]","[214, 143, 95, 92]",Internal
50,10.263219356536865,"[214, 48, 95, 89]","[214, 143, 95, 92]",Internal
51,10.415093660354614,"[215, 39, 93, 93]","[214, 143, 95, 92]",Internal
52,10.5300772190094,"[216, 33, 94, 97]","[214, 143, 95, 92]",Internal
53,10.791180610656738,"[217, 35, 94, 97]","[214, 143, 95, 92]",Internal
54,10.895546913146973,"[218, 42, 96, 98]","[214, 143, 95, 92]",Internal
55,11.111978530883789,"[219, 48, 98, 98]","[214, 143, 95, 92]",Internal
56,11.225110530853271,"[219, 65, 94, 96]","[214, 143, 95, 92]",Internal
57,11.352035522460938,"[219, 71, 95, 95]","[214, 143, 95, 92]",Internal
58,11.487717628479004,"[220, 87, 97, 93]","[214, 143, 95, 92]",Internal
59,11.642970561981201,"[221, 109, 99, 87]","[214, 143, 95, 92]",Internal
60,11.768880367279053,"[221, 118, 98, 85]","[214, 143, 95, 92]",Internal
61,11.915210247039795,"[222, 121, 99, 87]","[214, 143, 95, 92]",Internal
62,12.052002906799316,"[222, 122, 100, 88]","[214, 143, 95, 92]",Internal
63,12.168739080429077,"[222, 123, 100, 89]","[214, 143, 95, 92]",Internal
64,12.501622438430786,"[222, 123, 100, 89]","[214, 143, 95, 92]",Internal
65,12.610668420791626,"[222, 125, 98, 92]","[214, 143, 95, 92]",Internal
66,12.725164651870728,"[222, 127, 98, 92]","[214, 143, 95, 92]",Internal
67,12.856335163116455,"[222, 128, 98, 92]","[214, 143, 95, 92]",Internal
68,12.971243143081665,"[222, 129, 98, 92]","[214, 143, 95, 92]",Internal
