,elapsed_time,position,target,method
0,0.01126241683959961,"[207, 183, 91, 93]","[306, 183, 90, 93]",Internal
1,0.1460874080657959,"[208, 182, 93, 93]","[306, 183, 90, 93]",Internal
2,0.3058912754058838,"[208, 181, 94, 93]","[306, 183, 90, 93]",Internal
3,0.4226827621459961,"[210, 178, 95, 93]","[306, 183, 90, 93]",Internal
4,0.5229551792144775,"[211, 175, 96, 93]","[306, 183, 90, 93]",Internal
5,0.6440725326538086,"[211, 172, 100, 93]","[306, 183, 90, 93]",Internal
6,0.7482037544250488,"[212, 171, 103, 93]","[306, 183, 90, 93]",Internal
7,0.8685872554779053,"[212, 170, 106, 93]","[306, 183, 90, 93]",Internal
8,0.9735422134399414,"[211, 169, 107, 94]","[306, 183, 90, 93]",Internal
9,1.0776269435882568,"[237, 164, 100, 92]","[306, 183, 90, 93]",Internal
10,1.1896154880523682,"[246, 163, 100, 92]","[306, 183, 90, 93]",Internal
11,1.2929835319519043,"[253, 162, 97, 93]","[306, 183, 90, 93]",Internal
12,1.4206750392913818,"[262, 159, 98, 94]","[306, 183, 90, 93]",Internal
13,1.5850858688354492,"[273, 155, 102, 96]","[306, 183, 90, 93]",Internal
14,1.6857759952545166,"[285, 155, 102, 92]","[306, 183, 90, 93]",Internal
15,1.824660062789917,"[292, 151, 99, 94]","[306, 183, 90, 93]",Internal
16,1.9475598335266113,"[295, 151, 98, 94]","[306, 183, 90, 93]",Internal
17,2.1221799850463867,"[300, 148, 97, 95]","[306, 183, 90, 93]",Internal
18,2.266629934310913,"[306, 146, 96, 96]","[306, 183, 90, 93]",Internal
19,2.4092819690704346,"[310, 145, 96, 96]","[306, 183, 90, 93]",Internal
20,2.5214362144470215,"[312, 145, 96, 96]","[306, 183, 90, 93]",Internal
21,2.6563754081726074,"[315, 146, 96, 96]","[306, 183, 90, 93]",Internal
22,2.768157482147217,"[316, 147, 96, 95]","[306, 183, 90, 93]",Internal
23,2.9179253578186035,"[317, 148, 96, 95]","[306, 183, 90, 93]",Internal
24,3.0192666053771973,"[318, 149, 96, 95]","[306, 183, 90, 93]",Internal
25,3.156343460083008,"[317, 153, 101, 95]","[306, 183, 90, 93]",Internal
26,3.3175535202026367,"[319, 161, 95, 88]","[317, 53, 101, 95]",Internal
