,elapsed_time,position,target,method
0,0.08249711990356445,"[59, 143, 94, 92]","[359, 142, 94, 92]",Proportional
1,0.1748807430267334,"[58, 141, 95, 93]","[359, 142, 94, 92]",Proportional
2,0.2849586009979248,"[58, 141, 94, 93]","[359, 142, 94, 92]",Proportional
3,0.387622594833374,"[61, 140, 93, 93]","[359, 142, 94, 92]",Proportional
4,0.5516729354858398,"[62, 141, 93, 93]","[359, 142, 94, 92]",Proportional
5,0.66011643409729,"[62, 140, 93, 93]","[359, 142, 94, 92]",Proportional
6,0.7551989555358887,"[62, 139, 107, 94]","[359, 142, 94, 92]",Proportional
7,0.8890624046325684,"[64, 139, 120, 93]","[359, 142, 94, 92]",Proportional
8,0.9991428852081299,"[65, 138, 122, 93]","[359, 142, 94, 92]",Proportional
9,1.0985305309295654,"[66, 137, 133, 94]","[359, 142, 94, 92]",Proportional
10,1.227839708328247,"[68, 137, 130, 93]","[359, 142, 94, 92]",Proportional
11,1.3190126419067383,"[66, 136, 136, 94]","[359, 142, 94, 92]",Proportional
12,1.4138555526733398,"[66, 136, 136, 94]","[359, 142, 94, 92]",Proportional
13,1.5108704566955566,"[68, 137, 130, 94]","[359, 142, 94, 92]",Proportional
14,1.6726441383361816,"[67, 135, 138, 94]","[359, 142, 94, 92]",Proportional
15,1.8005971908569336,"[67, 136, 138, 94]","[359, 142, 94, 92]",Proportional
16,1.8905882835388184,"[67, 136, 137, 94]","[359, 142, 94, 92]",Proportional
17,1.9840738773345947,"[70, 137, 135, 94]","[359, 142, 94, 92]",Proportional
18,2.077860116958618,"[69, 136, 138, 94]","[359, 142, 94, 92]",Proportional
19,2.1656367778778076,"[70, 136, 138, 94]","[359, 142, 94, 92]",Proportional
20,2.349342107772827,"[73, 135, 140, 95]","[359, 142, 94, 92]",Proportional
21,2.3824009895324707,"[75, 135, 140, 95]","[359, 142, 94, 92]",Proportional
22,2.484095811843872,"[77, 134, 140, 95]","[359, 142, 94, 92]",Proportional
23,2.824803590774536,"[82, 133, 142, 95]","[359, 142, 94, 92]",Proportional
24,2.9352569580078125,"[93, 133, 140, 93]","[359, 142, 94, 92]",Proportional
25,2.9899494647979736,"[99, 133, 132, 93]","[359, 142, 94, 92]",Proportional
26,3.137183427810669,"[107, 132, 131, 93]","[359, 142, 94, 92]",Proportional
27,3.2040014266967773,"[109, 132, 131, 93]","[359, 142, 94, 92]",Proportional
28,3.333590507507324,"[115, 130, 129, 93]","[359, 142, 94, 92]",Proportional
29,3.5379726886749268,"[118, 130, 130, 94]","[359, 142, 94, 92]",Proportional
30,3.8027656078338623,"[120, 130, 128, 93]","[359, 142, 94, 92]",Proportional
31,4.014719009399414,"[132, 128, 127, 93]","[359, 142, 94, 92]",Proportional
32,4.083242654800415,"[151, 125, 123, 93]","[359, 142, 94, 92]",Proportional
33,4.1988115310668945,"[160, 123, 122, 93]","[359, 142, 94, 92]",Proportional
34,4.304649591445923,"[163, 122, 121, 93]","[359, 142, 94, 92]",Proportional
35,4.413869857788086,"[173, 121, 121, 93]","[359, 142, 94, 92]",Proportional
36,4.534575462341309,"[178, 118, 121, 94]","[359, 142, 94, 92]",Proportional
37,4.676050662994385,"[187, 116, 121, 94]","[359, 142, 94, 92]",Proportional
38,4.843186855316162,"[192, 116, 119, 95]","[359, 142, 94, 92]",Proportional
39,4.991865634918213,"[200, 118, 117, 94]","[359, 142, 94, 92]",Proportional
40,5.024677991867065,"[201, 118, 117, 94]","[359, 142, 94, 92]",Proportional
41,5.142281532287598,"[206, 118, 117, 94]","[359, 142, 94, 92]",Proportional
42,5.2793495655059814,"[209, 118, 118, 94]","[359, 142, 94, 92]",Proportional
43,5.36540675163269,"[214, 120, 116, 94]","[359, 142, 94, 92]",Proportional
44,5.508453845977783,"[219, 122, 118, 94]","[359, 142, 94, 92]",Proportional
45,5.63371205329895,"[220, 123, 117, 93]","[359, 142, 94, 92]",Proportional
46,5.82970929145813,"[221, 124, 117, 93]","[359, 142, 94, 92]",Proportional
47,5.966724157333374,"[227, 126, 116, 93]","[359, 142, 94, 92]",Proportional
48,6.082566976547241,"[231, 127, 118, 93]","[359, 142, 94, 92]",Proportional
49,6.120271444320679,"[241, 128, 117, 93]","[359, 142, 94, 92]",Proportional
50,6.330364942550659,"[250, 129, 117, 93]","[359, 142, 94, 92]",Proportional
51,6.402539491653442,"[258, 128, 117, 93]","[359, 142, 94, 92]",Proportional
52,6.503129005432129,"[262, 128, 117, 93]","[359, 142, 94, 92]",Proportional
53,6.9106621742248535,"[267, 128, 116, 93]","[359, 142, 94, 92]",Proportional
54,6.943863391876221,"[271, 127, 116, 93]","[359, 142, 94, 92]",Proportional
55,7.0824666023254395,"[287, 125, 116, 93]","[359, 142, 94, 92]",Proportional
56,7.188533067703247,"[288, 125, 116, 93]","[359, 142, 94, 92]",Proportional
57,7.504780054092407,"[300, 124, 115, 94]","[359, 142, 94, 92]",Proportional
58,7.918838024139404,"[330, 120, 115, 95]","[359, 142, 94, 92]",Proportional
59,8.071236610412598,"[333, 121, 114, 92]","[359, 142, 94, 92]",Proportional
60,8.082520246505737,"[340, 120, 114, 94]","[359, 142, 94, 92]",Proportional
61,8.264944553375244,"[345, 119, 113, 94]","[359, 142, 94, 92]",Proportional
62,8.34367561340332,"[353, 118, 112, 94]","[359, 142, 94, 92]",Proportional
63,8.507562398910522,"[354, 118, 112, 94]","[359, 142, 94, 92]",Proportional
64,8.612443447113037,"[360, 117, 112, 95]","[359, 142, 94, 92]",Proportional
65,9.267550230026245,"[362, 118, 112, 94]","[359, 142, 94, 92]",Proportional
66,9.33010745048523,"[363, 117, 112, 94]","[359, 142, 94, 92]",Proportional
67,9.417648315429688,"[388, 115, 112, 95]","[359, 142, 94, 92]",Proportional
68,9.828346729278564,"[389, 115, 111, 94]","[359, 142, 94, 92]",Proportional
69,9.842140674591064,"[391, 115, 111, 94]","[359, 142, 94, 92]",Proportional
70,9.939233303070068,"[396, 116, 110, 95]","[359, 142, 94, 92]",Proportional
