,time,bluetooth
0,0.10000014305114746,"[0.924, 0.6, 0.332]"
1,0.20000052452087402,"[0.924, 0.6, 0.332]"
2,0.3000006675720215,"[0.924, 0.6, 0.332]"
3,0.40000104904174805,"[0.924, 0.6, 0.332]"
4,0.5000011920928955,"[0.924, 0.6, 0.332]"
5,0.600001335144043,"[0.924, 0.6, 0.332]"
6,0.7000014781951904,"[0.924, 0.6, 0.332]"
7,0.8000016212463379,"[0.924, 0.6, 0.332]"
8,0.9000017642974854,"[0.924, 0.6, 0.332]"
9,1.0000019073486328,"[0.924, 0.6, 0.332]"
10,1.1000020503997803,"[0.924, 0.6, 0.332]"
11,1.2000021934509277,"[0.924, 0.6, 0.332]"
12,1.3000025749206543,"[0.924, 0.6, 0.332]"
13,1.4000046253204346,"[0.924, 0.6, 0.332]"
14,1.500004768371582,"[0.924, 0.6, 0.332]"
15,1.6000049114227295,"[0.924, 0.6, 0.332]"
16,1.700005054473877,"[0.924, 0.6, 0.332]"
17,1.8000051975250244,"[0.924, 0.6, 0.332]"
18,1.9000053405761719,"[0.924, 0.6, 0.332]"
19,2.0000054836273193,"[0.924, 0.6, 0.332]"
20,2.100005626678467,"[0.924, 0.6, 0.332]"
21,2.2000057697296143,"[0.924, 0.6, 0.332]"
22,2.3000059127807617,"[0.924, 0.6, 0.332]"
23,2.400006055831909,"[0.924, 0.6, 0.332]"
24,2.5000061988830566,"[0.924, 0.6, 0.332]"
25,2.600006341934204,"[0.924, 0.6, 0.332]"
26,2.7000064849853516,"[0.924, 0.6, 0.332]"
27,2.800006628036499,"[0.924, 0.6, 0.332]"
28,2.9000067710876465,"[0.924, 0.6, 0.332]"
29,3.0000078678131104,"[0.924, 0.6, 0.332]"
30,3.100008010864258,"[0.924, 0.6, 0.332]"
31,3.2000081539154053,"[0.924, 0.6, 0.332]"
32,3.3000082969665527,"[0.924, 0.6, 0.332]"
33,3.4000084400177,"[0.924, 0.6, 0.332]"
34,3.5000085830688477,"[0.924, 0.6, 0.332]"
35,3.600008726119995,"[0.924, 0.6, 0.332]"
36,3.7000088691711426,"[0.924, 0.6, 0.332]"
37,3.80000901222229,"[0.924, 0.6, 0.332]"
38,3.9000091552734375,"[0.924, 0.6, 0.332]"
39,4.000009298324585,"[0.924, 0.6, 0.332]"
40,4.100009441375732,"[0.924, 0.6, 0.332]"
41,4.20000958442688,"[0.924, 0.6, 0.332]"
42,4.300009727478027,"[0.924, 0.6, 0.332]"
43,4.400009870529175,"[0.924, 0.6, 0.332]"
44,4.500010251998901,"[0.924, 0.6, 0.332]"
45,4.600010395050049,"[0.924, 0.6, 0.332]"
46,4.700010776519775,"[0.924, 0.6, 0.332]"
47,4.800010919570923,"[0.924, 0.6, 0.332]"
48,4.90001106262207,"[0.924, 0.6, 0.332]"
49,5.000011205673218,"[0.924, 0.6, 0.332]"
50,5.100011348724365,"[0.924, 0.6, 0.332]"
51,5.200011491775513,"[0.924, 0.6, 0.332]"
52,5.30001163482666,"[0.924, 0.6, 0.332]"
53,5.400011777877808,"[0.924, 0.6, 0.332]"
54,5.500011920928955,"[0.924, 0.6, 0.332]"
55,5.600012302398682,"[0.924, 0.6, 0.332]"
56,5.700012445449829,"[0.924, 0.6, 0.332]"
57,5.800012826919556,"[0.924, 0.6, 0.332]"
58,5.900012969970703,"[0.924, 0.6, 0.332]"
59,6.000013113021851,"[0.924, 0.6, 0.332]"
60,6.100013256072998,"[0.924, 0.6, 0.332]"
61,6.2000133991241455,"[0.924, 0.6, 0.332]"
62,6.300013542175293,"[0.924, 0.6, 0.332]"
63,6.40001368522644,"[0.924, 0.6, 0.332]"
64,6.500013828277588,"[0.924, 0.6, 0.332]"
65,6.600013971328735,"[0.924, 0.6, 0.332]"
66,6.700014352798462,"[0.924, 0.6, 0.332]"
67,6.800014495849609,"[0.924, 0.6, 0.332]"
68,6.900014877319336,"[0.924, 0.6, 0.332]"
69,7.000015020370483,"[0.924, 0.6, 0.332]"
70,7.100015163421631,"[0.924, 0.6, 0.332]"
71,7.200015306472778,"[0.924, 0.6, 0.332]"
72,7.300015449523926,"[0.924, 0.6, 0.332]"
73,7.400015592575073,"[0.924, 0.6, 0.332]"
74,7.500015735626221,"[0.924, 0.6, 0.332]"
75,7.600015878677368,"[0.924, 0.6, 0.332]"
76,7.700016021728516,"[0.924, 0.6, 0.332]"
77,7.800016403198242,"[0.924, 0.6, 0.332]"
78,7.90001654624939,"[0.924, 0.6, 0.332]"
79,8.000016689300537,"[0.924, 0.6, 0.332]"
80,8.100016832351685,"[0.924, 0.6, 0.332]"
81,8.200016975402832,"[0.924, 0.6, 0.332]"
82,8.30001711845398,"[0.924, 0.6, 0.332]"
83,8.400017261505127,"[0.924, 0.6, 0.332]"
84,8.500017404556274,"[0.924, 0.6, 0.332]"
85,8.600017547607422,"[0.924, 0.6, 0.332]"
86,8.70001769065857,"[0.924, 0.6, 0.332]"
87,8.800017833709717,"[0.924, 0.6, 0.332]"
88,8.900017976760864,"[0.924, 0.6, 0.332]"
89,9.000018119812012,"[0.924, 0.6, 0.332]"
90,9.10001826286316,"[0.924, 0.6, 0.332]"
91,9.200018405914307,"[0.924, 0.6, 0.332]"
92,9.300018548965454,"[0.924, 0.6, 0.332]"
93,9.400018692016602,"[0.924, 0.6, 0.332]"
94,9.500018835067749,"[0.924, 0.6, 0.332]"
95,9.600019216537476,"[0.924, 0.6, 0.332]"
