,time,bluetooth
0,0.10000014305114746,"[0.458, 0.627, 0.581]"
1,0.20000052452087402,"[0.458, 0.627, 0.581]"
2,0.3000006675720215,"[0.458, 0.627, 0.581]"
3,0.40000128746032715,"[0.458, 0.627, 0.581]"
4,0.5000014305114746,"[0.458, 0.627, 0.581]"
5,0.6000018119812012,"[0.458, 0.627, 0.581]"
6,0.7000019550323486,"[0.458, 0.627, 0.581]"
7,0.8000020980834961,"[0.458, 0.627, 0.581]"
8,0.9000022411346436,"[0.458, 0.627, 0.581]"
9,1.0000038146972656,"[0.458, 0.627, 0.581]"
10,1.100003957748413,"[0.458, 0.627, 0.581]"
11,1.2000041007995605,"[0.458, 0.627, 0.581]"
12,1.300011157989502,"[0.458, 0.627, 0.581]"
13,1.4000115394592285,"[0.458, 0.627, 0.581]"
14,1.500011682510376,"[0.458, 0.627, 0.581]"
15,1.6000118255615234,"[0.458, 0.627, 0.581]"
16,1.700011968612671,"[0.458, 0.627, 0.581]"
17,1.8000121116638184,"[0.458, 0.627, 0.581]"
18,1.9000122547149658,"[0.458, 0.627, 0.581]"
19,2.0000123977661133,"[0.458, 0.627, 0.581]"
20,2.1000125408172607,"[0.458, 0.627, 0.581]"
21,2.200012683868408,"[0.458, 0.627, 0.581]"
22,2.3000130653381348,"[0.458, 0.627, 0.581]"
23,2.4000132083892822,"[0.458, 0.627, 0.581]"
24,2.5000133514404297,"[0.458, 0.627, 0.581]"
25,2.600013494491577,"[0.458, 0.627, 0.581]"
26,2.7000136375427246,"[0.458, 0.627, 0.581]"
27,2.800013780593872,"[0.458, 0.627, 0.581]"
28,2.9000139236450195,"[0.458, 0.627, 0.581]"
29,3.000014066696167,"[0.458, 0.627, 0.581]"
30,3.1000142097473145,"[0.458, 0.627, 0.581]"
31,3.200014352798462,"[0.458, 0.627, 0.581]"
32,3.3000195026397705,"[0.458, 0.627, 0.581]"
33,3.400019645690918,"[0.458, 0.627, 0.581]"
34,3.5000197887420654,"[0.458, 0.627, 0.581]"
35,3.600019931793213,"[0.458, 0.627, 0.581]"
36,3.7000200748443604,"[0.458, 0.627, 0.581]"
37,3.800020217895508,"[0.458, 0.627, 0.581]"
38,3.9000203609466553,"[0.458, 0.627, 0.581]"
39,4.000027894973755,"[0.458, 0.627, 0.581]"
40,4.100028038024902,"[0.458, 0.627, 0.581]"
41,4.200028419494629,"[0.458, 0.627, 0.581]"
42,4.300028562545776,"[0.458, 0.627, 0.581]"
43,4.400028944015503,"[0.458, 0.627, 0.581]"
44,4.5000293254852295,"[0.458, 0.627, 0.581]"
45,4.600029706954956,"[0.458, 0.627, 0.581]"
46,4.7000298500061035,"[0.458, 0.627, 0.581]"
47,4.800029993057251,"[0.458, 0.627, 0.581]"
48,4.900030136108398,"[0.458, 0.627, 0.581]"
49,5.000030279159546,"[0.458, 0.627, 0.581]"
50,5.100030422210693,"[0.458, 0.627, 0.581]"
51,5.200052499771118,"[0.458, 0.627, 0.581]"
52,5.30005955696106,"[0.458, 0.627, 0.581]"
53,5.400059700012207,"[0.458, 0.627, 0.581]"
54,5.5000598430633545,"[0.458, 0.627, 0.581]"
55,5.600059986114502,"[0.458, 0.627, 0.581]"
56,5.700063467025757,"[0.458, 0.627, 0.581]"
57,5.800063610076904,"[0.458, 0.627, 0.581]"
58,5.900063753128052,"[0.458, 0.627, 0.581]"
59,6.000063896179199,"[0.458, 0.627, 0.581]"
60,6.100064039230347,"[0.458, 0.627, 0.581]"
61,6.200064182281494,"[0.458, 0.627, 0.581]"
62,6.300064325332642,"[0.458, 0.627, 0.581]"
63,6.400064468383789,"[0.458, 0.627, 0.581]"
64,6.5000646114349365,"[0.458, 0.627, 0.581]"
65,6.600064754486084,"[0.458, 0.627, 0.581]"
66,6.7000648975372314,"[0.458, 0.627, 0.581]"
67,6.800065040588379,"[0.458, 0.627, 0.581]"
68,6.900065183639526,"[0.458, 0.627, 0.581]"
69,7.000065326690674,"[0.458, 0.627, 0.581]"
70,7.100065469741821,"[0.458, 0.627, 0.581]"
71,7.200065612792969,"[0.458, 0.627, 0.581]"
72,7.300065755844116,"[0.458, 0.627, 0.581]"
73,7.400065898895264,"[0.458, 0.627, 0.581]"
74,7.500066041946411,"[0.458, 0.627, 0.581]"
75,7.600066184997559,"[0.458, 0.627, 0.581]"
76,7.700066566467285,"[0.458, 0.627, 0.581]"
77,7.800066709518433,"[0.458, 0.627, 0.581]"
78,7.900067090988159,"[0.458, 0.627, 0.581]"
79,8.000067234039307,"[0.458, 0.627, 0.581]"
80,8.100067377090454,"[0.458, 0.627, 0.581]"
81,8.200067520141602,"[0.458, 0.627, 0.581]"
82,8.300067663192749,"[0.458, 0.627, 0.581]"
83,8.400067806243896,"[0.458, 0.627, 0.581]"
84,8.500067949295044,"[0.458, 0.627, 0.581]"
85,8.600068092346191,"[0.458, 0.627, 0.581]"
86,8.700068235397339,"[0.458, 0.627, 0.581]"
87,8.800068616867065,"[0.458, 0.627, 0.581]"
88,8.900068759918213,"[0.458, 0.627, 0.581]"
89,9.00006890296936,"[0.458, 0.627, 0.581]"
90,9.100069046020508,"[0.458, 0.627, 0.581]"
91,9.200069189071655,"[0.458, 0.627, 0.581]"
92,9.300069332122803,"[0.458, 0.627, 0.581]"
93,9.40006947517395,"[0.458, 0.627, 0.581]"
94,9.500069618225098,"[0.458, 0.627, 0.581]"
95,9.600069761276245,"[0.458, 0.627, 0.581]"
96,9.700069904327393,"[0.458, 0.627, 0.581]"
97,9.80007004737854,"[0.458, 0.627, 0.581]"
98,9.900070190429688,"[0.458, 0.627, 0.581]"
99,10.000070333480835,"[0.458, 0.627, 0.581]"
100,10.100070476531982,"[0.458, 0.627, 0.581]"
101,10.20007061958313,"[0.458, 0.627, 0.581]"
102,10.300070762634277,"[0.458, 0.627, 0.581]"
103,10.40007472038269,"[0.458, 0.627, 0.581]"
104,10.500074863433838,"[0.458, 0.627, 0.581]"
105,10.60008692741394,"[0.458, 0.627, 0.581]"
106,10.700087308883667,"[0.458, 0.627, 0.581]"
107,10.800087451934814,"[0.458, 0.627, 0.581]"
108,10.900087594985962,"[0.458, 0.627, 0.581]"
109,11.00008773803711,"[0.458, 0.627, 0.581]"
110,11.100087881088257,"[0.458, 0.627, 0.581]"
111,11.200088024139404,"[0.458, 0.627, 0.581]"
112,11.300088167190552,"[0.458, 0.627, 0.581]"
113,11.4000883102417,"[0.458, 0.627, 0.581]"
114,11.500088453292847,"[0.458, 0.627, 0.581]"
115,11.600088596343994,"[0.458, 0.627, 0.581]"
116,11.70008897781372,"[0.458, 0.627, 0.581]"
117,11.800089359283447,"[0.458, 0.627, 0.581]"
118,11.900089502334595,"[0.458, 0.627, 0.581]"
119,12.000089645385742,"[0.458, 0.627, 0.581]"
120,12.10008978843689,"[0.458, 0.627, 0.581]"
121,12.200089931488037,"[0.458, 0.627, 0.581]"
122,12.300090312957764,"[0.458, 0.627, 0.581]"
123,12.400090456008911,"[0.458, 0.627, 0.581]"
124,12.500090599060059,"[0.458, 0.627, 0.581]"
125,12.600090742111206,"[0.458, 0.627, 0.581]"
126,12.700090885162354,"[0.458, 0.627, 0.581]"
127,12.800091028213501,"[0.458, 0.627, 0.581]"
128,12.900091409683228,"[0.458, 0.627, 0.581]"
129,13.000091552734375,"[0.458, 0.627, 0.581]"
130,13.100091695785522,"[0.458, 0.627, 0.581]"
131,13.20009183883667,"[0.458, 0.627, 0.581]"
132,13.300091981887817,"[0.458, 0.627, 0.581]"
133,13.400092124938965,"[0.458, 0.627, 0.581]"
134,13.500092267990112,"[0.458, 0.627, 0.581]"
135,13.60009241104126,"[0.458, 0.627, 0.581]"
136,13.700092554092407,"[0.458, 0.627, 0.581]"
137,13.800092935562134,"[0.458, 0.627, 0.581]"
138,13.900093078613281,"[0.458, 0.627, 0.581]"
139,14.000093460083008,"[0.458, 0.627, 0.581]"
140,14.100093603134155,"[0.458, 0.627, 0.581]"
141,14.200093746185303,"[0.458, 0.627, 0.581]"
142,14.30009388923645,"[0.458, 0.627, 0.581]"
143,14.400094032287598,"[0.458, 0.627, 0.581]"
144,14.500094175338745,"[0.458, 0.627, 0.581]"
145,14.600094318389893,"[0.458, 0.627, 0.581]"
146,14.70009446144104,"[0.458, 0.627, 0.581]"
147,14.800094604492188,"[0.458, 0.627, 0.581]"
148,14.900094985961914,"[0.458, 0.627, 0.581]"
149,15.000095129013062,"[0.458, 0.627, 0.581]"
150,15.100139856338501,"[0.458, 0.627, 0.581]"
151,15.200139999389648,"[0.458, 0.627, 0.581]"
152,15.300140142440796,"[0.458, 0.627, 0.581]"
153,15.400140285491943,"[0.458, 0.627, 0.581]"
154,15.50014042854309,"[0.458, 0.627, 0.581]"
155,15.600140810012817,"[0.458, 0.627, 0.581]"
156,15.700140953063965,"[0.458, 0.627, 0.581]"
157,15.800141096115112,"[0.458, 0.627, 0.581]"
158,15.90014123916626,"[0.458, 0.627, 0.581]"
159,16.000141382217407,"[0.458, 0.627, 0.581]"
