,time,bluetooth
0,0.10000038146972656,"[0.499, 0.98, 0.344]"
1,0.20000052452087402,"[0.499, 0.98, 0.344]"
2,0.3000006675720215,"[0.499, 0.98, 0.344]"
3,0.40000081062316895,"[0.499, 0.98, 0.344]"
4,0.5000009536743164,"[0.499, 0.98, 0.344]"
5,0.6000010967254639,"[0.499, 0.98, 0.344]"
6,0.7000012397766113,"[0.499, 0.98, 0.344]"
7,0.8000013828277588,"[0.499, 0.98, 0.344]"
8,0.9000015258789062,"[0.499, 0.98, 0.344]"
9,1.0000019073486328,"[0.499, 0.98, 0.344]"
10,1.1000020503997803,"[0.499, 0.98, 0.344]"
11,1.2000021934509277,"[0.499, 0.98, 0.344]"
12,1.3000023365020752,"[0.499, 0.98, 0.344]"
13,1.4000024795532227,"[0.499, 0.98, 0.344]"
14,1.5000026226043701,"[0.499, 0.98, 0.344]"
15,1.6000027656555176,"[0.499, 0.98, 0.344]"
16,1.700002908706665,"[0.499, 0.98, 0.344]"
17,1.8000030517578125,"[0.499, 0.98, 0.344]"
18,1.90000319480896,"[0.499, 0.98, 0.344]"
19,2.0000033378601074,"[0.499, 0.98, 0.344]"
20,2.100003480911255,"[0.499, 0.98, 0.344]"
21,2.2001378536224365,"[0.499, 0.98, 0.344]"
22,2.300137996673584,"[0.499, 0.98, 0.344]"
23,2.4001381397247314,"[0.499, 0.98, 0.344]"
24,2.500138282775879,"[0.499, 0.98, 0.344]"
25,2.6001384258270264,"[0.499, 0.98, 0.344]"
26,2.700138568878174,"[0.499, 0.98, 0.344]"
27,2.8001387119293213,"[0.499, 0.98, 0.344]"
28,2.9001388549804688,"[0.499, 0.98, 0.344]"
29,3.000138998031616,"[0.499, 0.98, 0.344]"
30,3.1001393795013428,"[0.499, 0.98, 0.344]"
31,3.2001395225524902,"[0.499, 0.98, 0.344]"
32,3.3001396656036377,"[0.499, 0.98, 0.344]"
33,3.4001755714416504,"[0.499, 0.98, 0.344]"
34,3.500175714492798,"[0.499, 0.98, 0.344]"
35,3.6001832485198975,"[0.499, 0.98, 0.344]"
36,3.700183391571045,"[0.499, 0.98, 0.344]"
37,3.8001835346221924,"[0.499, 0.98, 0.344]"
38,3.90018367767334,"[0.499, 0.98, 0.344]"
39,4.000183820724487,"[0.499, 0.98, 0.344]"
40,4.100183963775635,"[0.499, 0.98, 0.344]"
41,4.200184106826782,"[0.499, 0.98, 0.344]"
42,4.30018424987793,"[0.499, 0.98, 0.344]"
43,4.400184392929077,"[0.499, 0.98, 0.344]"
44,4.500184535980225,"[0.499, 0.98, 0.344]"
45,4.600184679031372,"[0.499, 0.98, 0.344]"
46,4.7001848220825195,"[0.499, 0.98, 0.344]"
47,4.800185203552246,"[0.499, 0.98, 0.344]"
48,4.9001853466033936,"[0.499, 0.98, 0.344]"
49,5.000194311141968,"[0.499, 0.98, 0.344]"
50,5.100194454193115,"[0.499, 0.98, 0.344]"
51,5.200194597244263,"[0.499, 0.98, 0.344]"
52,5.30019474029541,"[0.499, 0.98, 0.344]"
53,5.400194883346558,"[0.499, 0.98, 0.344]"
54,5.500201463699341,"[0.499, 0.98, 0.344]"
55,5.600201845169067,"[0.499, 0.98, 0.344]"
56,5.700201988220215,"[0.499, 0.98, 0.344]"
57,5.800202131271362,"[0.499, 0.98, 0.344]"
58,5.90020227432251,"[0.499, 0.98, 0.344]"
59,6.000202417373657,"[0.499, 0.98, 0.344]"
60,6.100202560424805,"[0.499, 0.98, 0.344]"
61,6.200202703475952,"[0.499, 0.98, 0.344]"
62,6.3002028465271,"[0.499, 0.98, 0.344]"
63,6.400202989578247,"[0.499, 0.98, 0.344]"
64,6.5002031326293945,"[0.499, 0.98, 0.344]"
65,6.600203275680542,"[0.499, 0.98, 0.344]"
66,6.7002034187316895,"[0.499, 0.98, 0.344]"
67,6.800203561782837,"[0.499, 0.98, 0.344]"
68,6.900203704833984,"[0.499, 0.98, 0.344]"
69,7.000203847885132,"[0.499, 0.98, 0.344]"
70,7.100203990936279,"[0.499, 0.98, 0.344]"
71,7.200204133987427,"[0.499, 0.98, 0.344]"
72,7.300204277038574,"[0.499, 0.98, 0.344]"
73,7.400204658508301,"[0.499, 0.98, 0.344]"
74,7.500204801559448,"[0.499, 0.98, 0.344]"
75,7.600205183029175,"[0.499, 0.98, 0.344]"
76,7.700205326080322,"[0.499, 0.98, 0.344]"
77,7.80020546913147,"[0.499, 0.98, 0.344]"
78,7.900205612182617,"[0.499, 0.98, 0.344]"
79,8.000205755233765,"[0.499, 0.98, 0.344]"
80,8.100205898284912,"[0.499, 0.98, 0.344]"
81,8.20020604133606,"[0.499, 0.98, 0.344]"
82,8.300206184387207,"[0.499, 0.98, 0.344]"
83,8.400206327438354,"[0.499, 0.98, 0.344]"
84,8.500206708908081,"[0.499, 0.98, 0.344]"
85,8.600206851959229,"[0.499, 0.98, 0.344]"
86,8.700206995010376,"[0.499, 0.98, 0.344]"
87,8.800207138061523,"[0.499, 0.98, 0.344]"
88,8.900207281112671,"[0.499, 0.98, 0.344]"
89,9.000207424163818,"[0.499, 0.98, 0.344]"
90,9.100207567214966,"[0.499, 0.98, 0.344]"
91,9.200207710266113,"[0.499, 0.98, 0.344]"
92,9.30020785331726,"[0.499, 0.98, 0.344]"
93,9.400207996368408,"[0.499, 0.98, 0.344]"
94,9.500208139419556,"[0.499, 0.98, 0.344]"
95,9.600208282470703,"[0.499, 0.98, 0.344]"
96,9.70020842552185,"[0.499, 0.98, 0.344]"
97,9.800208568572998,"[0.499, 0.98, 0.344]"
98,9.900208711624146,"[0.499, 0.98, 0.344]"
99,10.000208854675293,"[0.499, 0.98, 0.344]"
100,10.10020899772644,"[0.499, 0.98, 0.344]"
101,10.200209140777588,"[0.499, 0.98, 0.344]"
102,10.300209522247314,"[0.499, 0.98, 0.344]"
103,10.400209665298462,"[0.499, 0.98, 0.344]"
104,10.500210046768188,"[0.499, 0.98, 0.344]"
105,10.600210189819336,"[0.499, 0.98, 0.344]"
106,10.700210332870483,"[0.499, 0.98, 0.344]"
107,10.80021047592163,"[0.499, 0.98, 0.344]"
108,10.900210618972778,"[0.499, 0.98, 0.344]"
109,11.000210762023926,"[0.499, 0.98, 0.344]"
110,11.100210905075073,"[0.499, 0.98, 0.344]"
111,11.20021104812622,"[0.499, 0.98, 0.344]"
112,11.300211191177368,"[0.499, 0.98, 0.344]"
113,11.400211572647095,"[0.499, 0.98, 0.344]"
114,11.500211715698242,"[0.499, 0.98, 0.344]"
115,11.60021185874939,"[0.499, 0.98, 0.344]"
116,11.700212001800537,"[0.499, 0.98, 0.344]"
117,11.800212144851685,"[0.499, 0.98, 0.344]"
118,11.900212287902832,"[0.499, 0.98, 0.344]"
