,elapsed_time,position,target,method
0,0.08969378471374512,"[155, 191, 87, 91]","[256, 192, 85, 91]",Proportional
1,0.17345333099365234,"[155, 191, 92, 91]","[256, 192, 85, 91]",Proportional
2,0.2949962615966797,"[155, 189, 97, 92]","[256, 192, 85, 91]",Proportional
3,0.3862595558166504,"[154, 188, 99, 92]","[256, 192, 85, 91]",Proportional
4,0.5365257263183594,"[153, 188, 106, 92]","[256, 192, 85, 91]",Proportional
5,0.5905776023864746,"[154, 188, 107, 92]","[256, 192, 85, 91]",Proportional
6,0.694136381149292,"[155, 189, 115, 92]","[256, 192, 85, 91]",Proportional
7,0.8150713443756104,"[156, 189, 114, 91]","[256, 192, 85, 91]",Proportional
8,0.9262793064117432,"[156, 188, 116, 92]","[256, 192, 85, 91]",Proportional
9,1.005760669708252,"[156, 188, 116, 92]","[256, 192, 85, 91]",Proportional
10,1.118119716644287,"[157, 189, 118, 92]","[256, 192, 85, 91]",Proportional
11,1.2409946918487549,"[157, 189, 127, 92]","[256, 192, 85, 91]",Proportional
12,1.3346061706542969,"[157, 190, 126, 92]","[256, 192, 85, 91]",Proportional
13,1.5139155387878418,"[158, 190, 127, 92]","[256, 192, 85, 91]",Proportional
14,1.7411956787109375,"[158, 190, 122, 91]","[256, 192, 85, 91]",Proportional
15,1.7780919075012207,"[158, 191, 127, 91]","[256, 192, 85, 91]",Proportional
16,1.9095277786254883,"[158, 190, 128, 92]","[256, 192, 85, 91]",Proportional
17,1.9957396984100342,"[160, 191, 128, 92]","[256, 192, 85, 91]",Proportional
18,2.070573329925537,"[160, 191, 128, 92]","[256, 192, 85, 91]",Proportional
19,2.1757006645202637,"[162, 191, 130, 92]","[256, 192, 85, 91]",Proportional
20,2.327998161315918,"[164, 191, 130, 92]","[256, 192, 85, 91]",Proportional
21,2.4550929069519043,"[166, 191, 132, 92]","[256, 192, 85, 91]",Proportional
22,2.502669095993042,"[168, 191, 132, 93]","[256, 192, 85, 91]",Proportional
23,2.5774447917938232,"[171, 191, 133, 92]","[256, 192, 85, 91]",Proportional
24,2.7777481079101562,"[175, 191, 135, 93]","[256, 192, 85, 91]",Proportional
25,2.8931949138641357,"[178, 191, 135, 93]","[256, 192, 85, 91]",Proportional
26,2.9678266048431396,"[182, 190, 136, 94]","[256, 192, 85, 91]",Proportional
