,elapsed_time,position,target,method
0,0.10158467292785645,"[152, 187, 83, 95]","[252, 187, 84, 95]",Proportional
1,0.20476174354553223,"[152, 186, 81, 95]","[252, 187, 84, 95]",Proportional
2,0.32583045959472656,"[152, 186, 84, 96]","[252, 187, 84, 95]",Proportional
3,0.42124032974243164,"[152, 186, 89, 95]","[252, 187, 84, 95]",Proportional
4,0.5397076606750488,"[152, 186, 93, 95]","[252, 187, 84, 95]",Proportional
5,0.679387092590332,"[150, 186, 98, 96]","[252, 187, 84, 95]",Proportional
6,0.7753019332885742,"[150, 186, 101, 95]","[252, 187, 84, 95]",Proportional
7,0.9071309566497803,"[149, 185, 106, 96]","[252, 187, 84, 95]",Proportional
8,0.9877185821533203,"[149, 185, 110, 96]","[252, 187, 84, 95]",Proportional
9,1.1143779754638672,"[149, 185, 113, 96]","[252, 187, 84, 95]",Proportional
10,1.2205471992492676,"[149, 185, 114, 96]","[252, 187, 84, 95]",Proportional
11,1.3179690837860107,"[149, 185, 114, 96]","[252, 187, 84, 95]",Proportional
12,1.487168312072754,"[149, 185, 114, 96]","[252, 187, 84, 95]",Proportional
13,1.6428618431091309,"[150, 185, 114, 96]","[252, 187, 84, 95]",Proportional
14,1.7979378700256348,"[151, 186, 116, 95]","[252, 187, 84, 95]",Proportional
15,2.0588603019714355,"[152, 186, 118, 95]","[252, 187, 84, 95]",Proportional
16,2.2748382091522217,"[158, 185, 115, 95]","[252, 187, 84, 95]",Proportional
17,2.6289212703704834,"[168, 181, 125, 95]","[252, 187, 84, 95]",Proportional
18,2.717407464981079,"[171, 180, 125, 96]","[252, 187, 84, 95]",Proportional
19,2.8058629035949707,"[173, 180, 127, 96]","[252, 187, 84, 95]",Proportional
20,2.873840093612671,"[176, 178, 127, 96]","[252, 187, 84, 95]",Proportional
21,3.0046701431274414,"[179, 177, 128, 96]","[252, 187, 84, 95]",Proportional
22,3.1369669437408447,"[184, 175, 130, 96]","[252, 187, 84, 95]",Proportional
23,3.246161937713623,"[186, 174, 130, 96]","[252, 187, 84, 95]",Proportional
24,3.3238182067871094,"[189, 173, 131, 95]","[252, 187, 84, 95]",Proportional
25,3.5025525093078613,"[195, 171, 132, 96]","[252, 187, 84, 95]",Proportional
26,3.6637487411499023,"[198, 170, 133, 97]","[252, 187, 84, 95]",Proportional
27,3.690758228302002,"[199, 169, 134, 97]","[252, 187, 84, 95]",Proportional
28,3.7781405448913574,"[204, 167, 133, 97]","[252, 187, 84, 95]",Proportional
29,3.934904098510742,"[209, 166, 135, 97]","[252, 187, 84, 95]",Proportional
30,4.092984199523926,"[212, 165, 134, 97]","[252, 187, 84, 95]",Proportional
31,4.137770414352417,"[214, 165, 132, 96]","[252, 187, 84, 95]",Proportional
32,4.254094362258911,"[218, 163, 134, 97]","[252, 187, 84, 95]",Proportional
33,4.3760459423065186,"[222, 161, 134, 97]","[252, 187, 84, 95]",Proportional
34,4.496625900268555,"[224, 161, 133, 97]","[252, 187, 84, 95]",Proportional
35,4.596569299697876,"[226, 161, 133, 97]","[252, 187, 84, 95]",Proportional
36,4.722590208053589,"[230, 160, 134, 97]","[252, 187, 84, 95]",Proportional
37,4.788787841796875,"[231, 160, 133, 97]","[252, 187, 84, 95]",Proportional
38,4.9293928146362305,"[234, 160, 133, 98]","[252, 187, 84, 95]",Proportional
39,5.066904544830322,"[236, 159, 132, 98]","[252, 187, 84, 95]",Proportional
40,5.128293037414551,"[238, 160, 132, 97]","[252, 187, 84, 95]",Proportional
41,5.268983602523804,"[240, 161, 131, 96]","[252, 187, 84, 95]",Proportional
42,5.422933578491211,"[242, 161, 129, 97]","[252, 187, 84, 95]",Proportional
43,5.492146015167236,"[242, 161, 129, 97]","[252, 187, 84, 95]",Proportional
44,5.580275297164917,"[243, 162, 127, 97]","[252, 187, 84, 95]",Proportional
45,5.703335523605347,"[245, 163, 126, 97]","[252, 187, 84, 95]",Proportional
46,5.831188917160034,"[246, 164, 124, 97]","[252, 187, 84, 95]",Proportional
47,5.991740703582764,"[246, 165, 124, 97]","[252, 187, 84, 95]",Proportional
48,6.040975093841553,"[246, 165, 123, 97]","[252, 187, 84, 95]",Proportional
49,6.147625207901001,"[247, 167, 121, 97]","[252, 187, 84, 95]",Proportional
50,6.277169942855835,"[248, 168, 121, 96]","[252, 187, 84, 95]",Proportional
51,6.349653005599976,"[248, 168, 120, 96]","[252, 187, 84, 95]",Proportional
52,6.468348741531372,"[248, 169, 119, 96]","[252, 187, 84, 95]",Proportional
53,6.557927131652832,"[248, 170, 118, 96]","[252, 187, 84, 95]",Proportional
54,6.704909563064575,"[248, 172, 118, 96]","[252, 187, 84, 95]",Proportional
55,6.794289827346802,"[248, 172, 117, 96]","[252, 187, 84, 95]",Proportional
56,6.905571937561035,"[247, 173, 115, 96]","[252, 187, 84, 95]",Proportional
57,7.004685878753662,"[247, 173, 115, 96]","[252, 187, 84, 95]",Proportional
58,7.136069059371948,"[247, 173, 114, 97]","[252, 187, 84, 95]",Proportional
59,7.2693541049957275,"[247, 174, 113, 96]","[252, 187, 84, 95]",Proportional
60,7.32111668586731,"[247, 174, 113, 97]","[252, 187, 84, 95]",Proportional
61,7.414952278137207,"[247, 175, 112, 96]","[252, 187, 84, 95]",Proportional
62,7.4942402839660645,"[246, 175, 112, 96]","[252, 187, 84, 95]",Proportional
63,7.6385862827301025,"[246, 175, 111, 97]","[252, 187, 84, 95]",Proportional
64,7.706817388534546,"[246, 175, 111, 96]","[252, 187, 84, 95]",Proportional
65,7.805099010467529,"[245, 175, 109, 97]","[252, 187, 84, 95]",Proportional
66,7.93586802482605,"[245, 175, 110, 97]","[252, 187, 84, 95]",Proportional
67,8.037286520004272,"[245, 175, 109, 96]","[252, 187, 84, 95]",Proportional
68,8.219934225082397,"[245, 175, 108, 96]","[252, 187, 84, 95]",Proportional
69,8.321872472763062,"[244, 174, 108, 97]","[252, 187, 84, 95]",Proportional
70,8.407016515731812,"[244, 174, 107, 96]","[252, 187, 84, 95]",Proportional
71,8.582342386245728,"[243, 173, 108, 97]","[252, 187, 84, 95]",Proportional
72,8.643566608428955,"[243, 173, 107, 96]","[252, 187, 84, 95]",Proportional
73,8.80707859992981,"[243, 172, 107, 97]","[252, 187, 84, 95]",Proportional
74,9.008260011672974,"[242, 171, 108, 97]","[252, 187, 84, 95]",Proportional
75,9.034436702728271,"[242, 171, 107, 97]","[252, 187, 84, 95]",Proportional
76,9.18048644065857,"[242, 171, 107, 97]","[252, 187, 84, 95]",Proportional
77,9.263631820678711,"[242, 170, 107, 97]","[252, 187, 84, 95]",Proportional
78,9.420050621032715,"[241, 169, 107, 97]","[252, 187, 84, 95]",Proportional
79,9.483064413070679,"[241, 169, 107, 97]","[252, 187, 84, 95]",Proportional
80,9.748160362243652,"[241, 169, 107, 97]","[252, 187, 84, 95]",Proportional
81,9.777485847473145,"[240, 169, 107, 98]","[252, 187, 84, 95]",Proportional
82,9.894324779510498,"[240, 169, 107, 97]","[252, 187, 84, 95]",Proportional
83,10.033744096755981,"[240, 169, 108, 97]","[252, 187, 84, 95]",Proportional
84,10.092363834381104,"[240, 169, 108, 97]","[252, 187, 84, 95]",Proportional
85,10.248746156692505,"[240, 169, 107, 97]","[252, 187, 84, 95]",Proportional
86,10.332654476165771,"[240, 168, 107, 98]","[252, 187, 84, 95]",Proportional
87,10.441753387451172,"[240, 168, 107, 98]","[252, 187, 84, 95]",Proportional
88,10.573945999145508,"[240, 168, 107, 97]","[252, 187, 84, 95]",Proportional
